Metric,Value
Total Files,580
Total Directories,112
Total Size (bytes),27380094

Extension,Count
.sample,14
.ts,262
.cmd,9
.ps1,9
.json,49
.js,95
.md,32
.mjs,8
.map,34
.mts,2
.txt,2
.xml,1
